Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
6/1/2015,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,Company chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NC,28078,,Consent not provided,Web,6/3/2015,Closed with explanation,Yes,Yes,1399841
5/1/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",LA,70808,,N/A,Web,5/2/2013,Closed with explanation,Yes,No,395813
7/7/2014,Debt collection,I do not know,Communication tactics,Threatened to take legal action,,,ARM WNY LLC,NM,87401,Older American,N/A,Phone,7/10/2014,Closed with explanation,Yes,Yes,924522
9/18/2014,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",FL,33570,,N/A,Referral,9/24/2014,Closed with explanation,Yes,No,1035603
3/8/2016,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",FL,33967,,N/A,Postal mail,3/9/2016,Closed with explanation,Yes,No,1823015
10/19/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ditech Financial LLC,NJ,8012,,N/A,Web,10/19/2014,Closed with explanation,Yes,No,1077162
5/15/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,NATIONSTAR MORTGAGE,CA,91354,Older American,N/A,Web,5/16/2013,Closed with explanation,Yes,No,408262
8/29/2016,Credit card,,Other,,Barclays will not remove old information on my credit report,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,RI,029XX,,Consent provided,Web,9/1/2016,Closed with explanation,Yes,No,2085345
6/26/2012,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",OR,97526,,N/A,Web,7/2/2012,Closed with non-monetary relief,No,No,107867
1/23/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,U.S. BANCORP,IL,62056,,N/A,Postal mail,1/25/2013,Closed with monetary relief,Yes,No,257446
4/20/2015,Credit card,,Other,,,,CAPITAL ONE FINANCIAL CORPORATION,WA,99158,,Consent not provided,Web,4/20/2015,Closed with explanation,Yes,No,1338225
7/22/2016,Mortgage,Other mortgage,"Application, originator, mortgage broker",,"You have refused to address the information that shows Bank of America acted in a retaliatory manner when it transferred our loan to XXXX in XXXX XXXX requiring us to make 2 mortgage payments in XX/XX/XXXX ( and taking weeks to resolve ). You have refused to address that Bank of America said we did n't have income to quality for refinancing under HARP. You have refused to address that Bank of America told us we were in default when we were never late on a payment. You have refused to address that Bank of America sent us private information on another borrower. You have refused to address that Bank of America falsely told us we could reapply under HARP when there is no evidence of that. The Ombudsman has never answered our challenge mailed XXXX XXXX XXXX in CFPB XXXX and CFPB XXXX. In short, you do not pay attention to detail and evidence to any extent.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NV,891XX,Older American,Consent provided,Web,7/22/2016,Closed,Yes,No,2025996
11/2/2016,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,I have requested information on this dedt bearing my signature and have not received no information on validation,,"Sa-Vit Enterprises, Inc.",NJ,071XX,,Consent provided,Web,11/27/2016,Closed with explanation,Yes,No,2189466
3/13/2015,Debt collection,I do not know,Communication tactics,Called outside of 8am-9pm,,,"Financial Credit Service, Inc.",TX,76117,,N/A,Web,3/19/2015,Closed with explanation,Yes,No,1281421
3/10/2014,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"J.A. Cambece Law Office, P.C.",VA,22309,,N/A,Web,3/12/2014,Closed with explanation,Yes,Yes,759322
8/13/2016,Credit reporting,,Credit reporting company's investigation,Investigation took too long,"On XXXX XXXX 2016 I submitted an application for a loan to my Bank XXXX XXXX XXXX XXXX XXXX XXXX XXXX. I had no issues with my bank nor did I believe I had any issues with any of the credit Bureaus. I had just check my credit score and report with Equifax at home on my computer. My credit score was showing at XXXX all of my accounts were in good standing paid as agreed in addition any credit cards and loan balances only ( XXXX ) accounts I had balances on all paid down less than half of what was owing on each account. In addition I had no negative, late or derogatory information on my account for over the past 7 years or more. However when the credit report was returned to the bank. It stated that my credit score was at a XXXX and I had filed a bankruptcy. My request for a loan was denied. 

This action on behalf of Equifax was an act to retaliate ( hit back ) in addition to abuse of power in response to all the complaints and disputes I filed against the company in the past .Doing what is stated by law file a complaint when there is mis-leading, inaccurate or false information on my report I called Equifax and talked to a supervisors XXXX XXXX she told me that at the time the request was submitted I did not have anything on my report she did inform me that for the last past 6 years although it was showing on my physical report all my accounts were in good standing however in the status code section of the report the XXXX XXXX XXXX account was reporting as an XXXX which means an mortgage account in collections. When I asked how can I get the information they sent to the bank corrected, XXXX XXXX said they would send an updated report to the bank. I contacted XXXX XXXX XXXX afterward and explain what I had been told. I was asked to call Equifax back and find out which department would the report go to. I called XXXX XXXX back but after more than a week of receiving no return phone calls ( the receptionist informed me that she was in the office and not on vacation. ) I was sent to the customer service department. 

When the customer service department answer the phone, the clerk told me I was to have the person at the bank call the phone number she gave me and they would send the bank an updated report with the correct credit score and information. She also informed me that the current status on the XXXX account was showing M- Bankruptcy. She told me she would file a dispute and although XXXX from the bank called and requested a new credit report, One was never sent. The past 6 years Equifax and XXXX created a defamation of my character, they are Negligent, and in violation of the fair credit reporting act as well as the PART 1002 -- EQUAL CREDIT OPPORTUNITY ACT ( REGULATION B ) Sec. 1002.16 Enforcement, penalties and liabilities. The last six years. i submitted disputes to Equifax about my XXXX accounts reporting and my credit score remaining the same even though I am consistence with paying my bills on time. I also found out that it was hidden in the background on their website that I had opened XXXX new accounts which was affecting my credit score the youngest acct. I have is over 7 years old. 

I'v spoken to every dept. in Equifax over the past 6 years from the CEO, Supervisors, several of them to many customer services worker in every department. I expressed to Equifax that because of the numerous of changes that was reported on my account after closure from foreclosures, transferred, late payment & many other status. Equifax seen the incorrect information. The evidence was there on my credit report. XXXX was reporting on my account monthly and never reported anything negative, late, bad standing or otherwise. XXXX was blaming Equifax for not correcting the report and Equifax was blaming XXXX. Equifax is the one responsible for doing a complete and intense investigation and when inconsistency is found delete the item being reported.",,"EQUIFAX, INC.",GA,300XX,,Consent provided,Web,8/13/2016,Closed with explanation,Yes,No,2061973
1/5/2012,Credit card,,Delinquent account,,,,CAPITAL ONE FINANCIAL CORPORATION,UT,84003,,N/A,Web,1/6/2012,Closed without relief,Yes,Yes,10210
3/9/2017,Other financial service,Refund anticipation check,Unexpected/Other fees,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",PA,19015,,Consent not provided,Web,3/13/2017,Closed with explanation,Yes,No,2379673
7/26/2014,Bank account or service,Checking account,"Account opening, closing, or management",,,,FIFTH THIRD FINANCIAL CORPORATION,OH,45150,,N/A,Web,7/26/2014,Closed with explanation,Yes,Yes,955547
3/21/2012,Credit card,,Other fee,,,,FIFTH THIRD FINANCIAL CORPORATION,IN,47712,,N/A,Phone,3/22/2012,Closed without relief,Yes,No,37829
8/16/2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,,,ENCORE CAPITAL GROUP INC.,GA,30114,,Consent not provided,Web,8/16/2016,Closed with non-monetary relief,Yes,No,2064800
1/14/2014,Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,,,Financial Business and Consumer Solutions.,FL,33139,,N/A,Web,1/13/2014,Closed with explanation,Yes,No,667924
8/21/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"West Bay Acquisitions, LLC",NV,89130,Servicemember,N/A,Web,8/21/2013,Closed,Yes,No,498192
5/11/2013,Credit reporting,,Incorrect information on credit report,Account terms,,,EXPERIAN DELAWARE GP,CA,91911,,N/A,Web,5/11/2013,Closed with explanation,Yes,No,405052
10/8/2013,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",NV,89508,Older American,N/A,Web,10/9/2013,Closed with explanation,Yes,Yes,554660
12/23/2015,Mortgage,Home equity loan or line of credit,Credit decision / Underwriting,,,Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MD,20874,,Consent not provided,Web,12/28/2015,Closed with monetary relief,Yes,No,1713495
3/16/2015,Credit card,,Billing disputes,,,,SYNCHRONY BANK,WI,53213,,N/A,Referral,3/23/2015,Closed with non-monetary relief,Yes,No,1285361
4/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"WELLS FARGO BANK, NATIONAL ASSOCIATION",NV,89523,,N/A,Referral,4/30/2013,Closed with explanation,Yes,No,394445
2/28/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,"WELLS FARGO BANK, NATIONAL ASSOCIATION",MD,21122,,N/A,Web,3/1/2013,Closed with explanation,Yes,No,337603
8/14/2014,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt is not mine,,,NATIONSTAR MORTGAGE,IL,60513,,N/A,Referral,8/19/2014,Closed with explanation,Yes,No,984735
11/10/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"Loan was sold or transferred to Statebridge Mortgage. 
They are not providing accurate information about account. 
Shows I owe for two months when I have paid every month for 5yrs.",Company chooses not to provide a public response,Statebridge Company,KS,660XX,,Consent provided,Web,11/10/2015,Closed with explanation,Yes,No,1649161
8/5/2016,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Received bad information about my loan,"I am in the Public Service Loan Forgiveness Program and my loans are held at FedLoan Servicing, and this year they improperly reevaluated my payment plan two months early. I received notice for my annual plan reevaluation and promptly submitted my information. The confirmation email that I received included a statement saying, "" If you are submitting your request for your annual recertification early, we will process your request once you are toward the end of your 12-month payment period. '' However, FedLoan Servicing reevaluated my plan 2 months early, and increased my payments 2 months early ( in XXXX instead of XXXX ). I have called them three times, and each representative has confirmed that it was indeed processed earlier than it should have been. I am now told that there is nothing they can do to change the evaluation time. This means that I will have my plan reevaluated two months earlier than it initially should have been every year. 

While they are attempting to override my XXXX and XXXX payment to only require the lower amount, I have already made my XXXX payment at the higher amount, since it was due. In addition, now the annual recertification will always be due two months earlier than it should be due. Moreover, what is to prevent this from happening again next year and every subsequent year? This needs to be rectified and the timeline needs to be accurately set. I am told there is no way to do that. 

Please also know that they have also failed to follow-up with me on my requests, and it has required my persistence to call FedLoan Servicing to have answers.",,AES/PHEAA,DC,200XX,,Consent provided,Web,8/5/2016,Closed with non-monetary relief,Yes,Yes,2048560
8/21/2016,Credit card,,Rewards,,"In XXXX I was approved for and received my American Express Platinum card. I began using it and eventually reached a spending threshold which awarded me XXXX of their Membership Rewards ( R ) Points, as promised. On XXXX XXXX I was charged their {$450.00} annual fee and I have continued to use this card and have no balance due at this time. After other charges I now have, as the time of this writing, XXXX points and my Membership Rewards ( R ) Program Number is XXXX. My credit card ends in XXXX. I have been a customer of American Express for decades and have good standing with them and good credit as well. I followed any and all terms and conditions for this card when making purchases and for earning or trying to use points. 

These points can be used to transfer to airlines or other services for travel or commerce by simply linking the American Express account online with other listed programs such as airline accounts, etc, and then make an online transfer after filling in their online forms. I have done this in the past with American Express Member Rewards Points transferring them to my XXXX account. In XXXX I tried to do another online transfer of XXXX of my points to XXXX XXXX and received the following error online : "" Unable to process your request We are unable to complete your order. Please do not attempt to resubmit the order, as this will only delay the process. Please contact us at XXXX between XXXX and XXXX, Sunday through Saturday. '' I called American Express and spent no less than 45 minutes on the phone being transferred up a chain of CSRs and supervisors, all who thought my account was fine, and eventually reached someone who told me that my account is being reviewed at the corporate level, which could take 6 - 8 weeks. She could not tell me anything else. In other words, my points, which I properly earned, can not be used. Why are they in my account if they can not be used? I think American Express is pulling a bait and switch of sorts if it offers something like this but now does n't let its customers actually take advantage of it. If they have some sort of internal issue being worked on by corporate, they should have solved that before hand on their time and stop wasting mine. I have actually visited online forums and have learned there are many others with this card experiencing the exact same issue. 

What I want is for you to help me get them to release any hold they have on my points and NOTIFY ME IMMEDIATELY without me having to contact them and fight for an answer again. Why did I pay {$450.00} for a card that has no intention of letting me use its benefits?",,AMERICAN EXPRESS CENTURION BANK,VT,057XX,,Consent provided,Web,8/21/2016,Closed with non-monetary relief,Yes,No,2073956
11/12/2014,Debt collection,I do not know,False statements or representation,Impersonated an attorney or official,,,"Aldous & Associates, PLLC",FL,33312,,N/A,Web,11/12/2014,Closed with explanation,Yes,Yes,1113377
8/22/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",VA,22601,,Consent not provided,Web,8/23/2015,Closed with explanation,Yes,No,1531769
7/2/2015,Credit card,,Billing disputes,,"I purchased a chair on XXXX/XXXX/15 for {$950.00} at XXXX XXXX in XXXX XXXX. I charged the amount to my Chase business card. Later I saw that the {$950.00} had been charged twice. I disputed the double charge and initially received a credit from Chase in XXXX. The merchant then submitted documentation to justify the XXXX charge which was a different person, in a different city for a purchase of {$11.00}. I responded to Chase and explained that the merchant had submitted incorrect information. Chase promised to continue the dispute. On XXXX/XXXX/2015 I was rebilled by Chase for the disputed amount of {$950.00}. I called the bank and was told the charge would be handled as a fraud case. I received a new credit card. Today ( XXXX/XXXX/2015 ) I saw online that the charge had not been removed from my account. I called Chase and was informed that the merchant hat verbally stated that the charge was part of an installment plan for a {$5000.00} purchase and the charge was seen as legitimate. As I do n't have an installment plan with this merchant and did n't make a purchase for {$5000.00} I asked the bank to continue to recover the false charge. I spoke with a supervisor who told me this case was closed and that Chase would not pursue the matter further. Previously, a Chase employee had told me "" off the record '' that I should contact you to resolve this issue if the bank refuses to help me.",,JPMORGAN CHASE & CO.,FL,333XX,,Consent provided,Web,7/2/2015,Closed with monetary relief,Yes,No,1450141
4/15/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,FL,33196,Older American,N/A,Web,4/15/2013,Closed with explanation,Yes,No,381774
4/11/2016,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"My mortgage company has been late paying my real estate taxes incurring late fees of {$230.00}. They have deducted XXXX tax payments from my account totaling {$2700.00} that have not been received by my town over the last 4 months which I consider missing. Furthermore they have removed over withdrawn my account in negligence for {$770.00} above what was due by deducting an extra payment which is XXXX of the XXXX missing payments. 

A full explanation can be found in the supporting documents. I have spent nearly 3 hours on the phone with the company trying to resolve this matter to no avail.",,RUSHMORE LOAN MANAGEMENT SERVICES LLC,RI,028XX,,Consent provided,Web,4/11/2016,Closed with explanation,Yes,No,1874652
9/19/2012,Mortgage,Other mortgage,Other,,,,"BAYVIEW LOAN SERVICING, LLC",GA,30127,,N/A,Referral,9/20/2012,Closed with explanation,Yes,No,156499
1/3/2016,Credit card,,Delinquent account,,"I had an American Express XXXX credit card. I lost my job in XXXX XXXX and was unable to make payments. They immediately sent me to a collection agency and closed the acct in XXXX XXXX. As soon as I was able I paid the debt in full on XXXX XXXX XXXX. In XXXX XXXX I checked my credit reports and noticed errors on this account. It was showing as a charge off even though it was paid in full. I have submitted over XXXX disputes since then to the XXXX CRAs. The XXXX report is somewhat accurate in that it shows a closed-paid collection/derogatory status even though they removed all positive payment history. My dispute is with XXXX and XXXX. For some reason, the account now shows as Open - Collection status since XXXX XXXX XXXX and XXXX XXXX XXXX. I disputed repeatedly and they "" confirmed '' this status as correct. I asked AMEX to send me a letter with all info on my account and to update with CRAs. They sent me a letter that shows Date Opened XXXX, {$0.00} balance, but the status is "" Collection Account - Closed by credit grantor ''. No other info is detailed such as date balance was paid in full or date when acct was closed. On top of that now AMEX sends me pre-approved credit card offers even though I asked them not to do so. I have already been denied credit twice with other lenders due to "" account in collection '' type issues as I did n't know these accounts were somehow reported "" Open- in collection ''.",,AMERICAN EXPRESS CENTURION BANK,MD,208XX,,Consent provided,Web,1/3/2016,Closed with non-monetary relief,Yes,Yes,1725017
4/15/2015,Bank account or service,Checking account,Problems caused by my funds being low,,"I have a business account with BB & T. There was an unexpected transaction which overdrafted the account. The problem I 'm having, is this has been two weeks ago, and now everyday they are charging me {$100.00} in bogus returned item fees. The fees have now accumulated over {$1000.00}. There have been no debits, only credits, and I still can not keep them from charging additional fees that are overdrafting the account. I get charged overdraft fees even when the account is positive. This practice is unethical, and it 's hurting my business. They have taken an entire weeks worth of revenue, and it 's still going. They refuse to freeze or suspend the account, nor will they allow me to close it. I 'm stuck paying {$100.00} for unexplainable fees. If you see the account, you wo n't believe it.",Company chooses not to provide a public response,BB&T CORPORATION,NC,284XX,,Consent provided,Web,4/15/2015,Closed with explanation,Yes,Yes,1330990
11/17/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company disputes the facts presented in the complaint,Ditech Financial LLC,IL,60504,,Consent not provided,Web,11/17/2015,Closed with explanation,Yes,No,1659644
9/26/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ENCORE CAPITAL GROUP INC.,DC,20002,,N/A,Web,9/27/2013,Closed with explanation,Yes,No,544256
9/22/2013,Credit reporting,,Incorrect information on credit report,Account status,,,EXPERIAN DELAWARE GP,TX,76011,,N/A,Web,9/22/2013,Closed with non-monetary relief,Yes,Yes,537157
4/9/2016,Bank account or service,Checking account,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,CA,91748,,Consent not provided,Web,4/9/2016,Closed with explanation,Yes,No,1872118
4/19/2016,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,Company believes it acted appropriately as authorized by contract or law,BROKER SOLUTIONS INC. DBA NEW AMERICAN FUNDING,CA,92532,Older American,Consent not provided,Web,4/19/2016,Closed with explanation,Yes,No,1884440
6/18/2015,Credit reporting,,Incorrect information on credit report,Personal information,"Before XXXX 2015, I have a credit score in middle XXXX on all XXXX credit bureaus. After being denied credit I discover all kinds of wrong information on my credit profile. So I file an Identity theft report with the XXXX Police Department, in XXXX, XXXX XXXX File # XXXX ). I send the report to the XXXX major credit bureaus and the creditors. All the creditors and credit bureaus deleted the information from my credit report quickly except Experian. XXXX of the creditors told me that Experian is the XXXX that had cross referance my file with someone else with the same name. My name is XXXX XXXX XXXX XXXX Address ) XXXX XXXX XXXX XXXX # XXXX XXXX Ca XXXX. My DOB XXXX ( SSN *********** XXXX. And that is the way i apply for credit and that is the way the creditor report my information to the credit reporting Bureaus. After sending Experian a copy of my ID and SS Card that tell me that they dont have no information in there database under that information. Which is a bold face lie and i told them so and that their job is to apply the information in there database exactly like the credit provider report it to them. On a credit report that I have from them is show a difference SSN and Several addresses and phone number that i know nothing about. And they refuse to correct this misinformation. This has cause me denied creditXXXX.",Company chooses not to provide a public response,EXPERIAN DELAWARE GP,CA,925XX,Older American,Consent provided,Web,6/18/2015,Closed with explanation,Yes,Yes,1426742
8/20/2016,Consumer Loan,Vehicle loan,Taking out the loan or lease,,"I purchased a XXXX Cadillac CTS on XXXX XXXX, XXXX with my daughter. On XXXX XXXX, my daughter made the first payment of {$200.00} by money order. On XXXX XXXX, XXXX, the collections manager began calling and stating that the account was past due. I disputed his statement by stating that the first payment was made in full. On XXXX XXXX, XXXX, the collections manager called again and stated that if the account was not brought current that he could "" not secure the loan. '' I again told him that the first payment was made in full by money order. The collections manager repeatedly argued with me and stated again that he could "" not secure the loan. '' On XXXX XXXX, XXXX, when I exited my workplace at XXXX, the vehicle was not in the parking lot where I left it. I immediately called the collections department at XXXX XXXX and the party who answered hung up on me. I called back a second time and my call went to voice mail. I presumed the vehicle had been ordered repossessed by the collections manager who argued with me on the week before. After filing my complaint with the Arizona Department of Financial Institutions referred to as AZDFI by XXXX, I was provided a copy of my account history. The record indicated that I did make my first payment by money order # XXXX in the amount of {$200.00}. However, the employee who accepted the payment recorded it as {$87.00} leaving a balance of {$110.00} on the account. The incorrect entry upon my account made the account appear delinquent when it was not. My vehicle was ordered repossessed even though my account was not delinquent. The owner of the company, XXXX XXXX, conspired along with his collection manager to endorse their illegal actions as a valid repossession. The company also retaliated against me and my daughter by reporting the false information to the credit bureaus in violation of the Fair Credit Reporting Act.",,"CJA Auto Sales, Inc.",AZ,853XX,,Consent provided,Web,8/20/2016,Closed with explanation,No,Yes,2073556
6/28/2016,Consumer Loan,Vehicle loan,Taking out the loan or lease,,"During an extreme financial emergency, including fraud and other unexpected tragedies, we were having difficult making payments on time. Ford Motor Credit Co. called an offered to assist us by putting two payments at the end of the loan. During the call we, my husbands wheelchair had just stopped working while in the yard, and did not understand the terms of this offer, which sounded to him as though it was something to help us ( he was in the middle of trying to get his wheelchair to work ). Later we learned the interest rate not only increased substantially, but now was compounded daily, putting us much further in the rear. I called requesting assistance with the extreme added charges due to not understanding what the penalties were be, the offer was not explained in a matter that was understood. I was told to call back and that they would help, when I called back, I was denied any assistance. It took 7 years to pay off a 5 year loan. I will mail a completed report of the charges, I have requested from Ford. I believe that it was intended to defraud the consumer masked as assistance when needing it was needed the most. This should be illegal to defraud the consumer and should be addressed. We are on a fixed income in the middle of extreme hardship when, Ford called us, and took advantage of our misfortune addeding to our financial hardship.They intentionally mislead us.",,FORD MOTOR CREDIT CO.,FL,334XX,,Consent provided,Web,6/28/2016,Closed with monetary relief,Yes,No,1988195
4/13/2015,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,"In XXXX we noticed the interest rates going up on our new home loan ; We went through a company called XXXX XXXX XXXX XXXX was working with us in trying to get our interest rate. 
XXXX cooperated at that time. 
XXXX ( XXXX XXXX ) did n't even respond. ( We continued to make the payments. ) The next year ; The interest rate started climbing again. ( No the XXXX Turned out to be an interest only home loan, without us clearly understanding this. We had turned down a legitimate great loan but the sellers on the home, whom we thought were our friends, convinced us otherwise. 
Soon after, we went to XXXX XXXX XXXX, who turned out to be a scam. We saw it on the news on the internet after we had noticed they were n't advertising on the radio. XXXX of there attorney 's tried to take over the loan but he seemed like he was taken our money with no results with XXXX. 
I searched the internet and came across XXXX XXXX XXXX. Meanwhile XXXX was viciously trying to foreclose on us. The loan modification was successful on the first ( XXXX ). XXXX refused to work with XXXX XXXX Firm. XXXX suggested we come in and file a Chapter XXXX and was certain it would work. 

We filed for a Chapter XXXX under XXXX XXXX, the Chapter XXXX Trustee, and the could not find XXXX our whom it belonged to. After several attempts to get in-touch with XXXX XXXX XXXX XXXX dismissed our Chapter XXXX and our credit was messed up. 
My sister, XXXX XXXX 's husband had lost his job. My sister stated asking him for money and came to him for everything, down to putting a huge down payment on cars for her adult children. Not to mention, my niece put herself on my father 's bank account with the help on a friend of hers whom worked at XXXX XXXX. 
He asked me to become his Power of Attorney and I accepted. When I tried to change his account number and get on the account with him, XXXX XXXX told me I could not because I had filled a Bankruptcy against them and it could not happen. A certain amount of time, around 2 years, had to pass before I could get on the account. They did not care about a power of attorney because they had their own power of attorney. 
Soon after, on XXXX/XXXX/XXXX my niece and her mother conjured up a plan to take my father out of his apartment, which lived with my brother, and caused his utilities to get turned off for non-payment and left my brother homeless. He, my brother, had left everything he had to care for my parents since XXXX after my father had a XXXX and my mother came down with XXXX XXXX XXXX and walked away from her home in XXXX CA. I brought my parents to come and live with me and my brother to take care of them because I was still working. There was nothing I could do because at the time he wanted to stay with my sister for a while they move to the other children 's home. She would not let no one see or talk to him on the phone him but my brother whom she know was not a threat because he could n't do anything about it. 
He stayed in the XXXX for 3 days and went to XXXX for until XXXX/XXXX/XXXX which turned out to be my retirement date. 
The stayed with me and started recovering until his health started giving him problems from the past. He passed on XXXX/XXXX/XXXX. It seemed no one cared because as far as they were concern, he was XXXX of age. 
I feel if XXXX XXXX were not the crooks that they were ; this would have never happened. Now they want to run a lean on my home after resurfacing from the past. We tried to work with XXXX do business the right way. They disappeared. I do n't want to have to file Bankruptcy again. We are too old to try to rebuild credit.",Company believes it acted appropriately as authorized by contract or law,Veripro Solutions Inc.,CA,925XX,Older American,Consent provided,Web,4/14/2015,Closed with explanation,Yes,Yes,1327034
12/4/2013,Credit card,,Billing disputes,,,,PNC Bank N.A.,OH,45014,,N/A,Web,12/4/2013,Closed with non-monetary relief,Yes,No,621636
6/14/2012,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,WA,98104,,N/A,Web,6/15/2012,Closed with explanation,Yes,Yes,101715
11/1/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,This debt was paid direct to XXXX,Company believes it acted appropriately as authorized by contract or law,Focus Holding Company,NC,272XX,,Consent provided,Web,11/3/2016,Closed with explanation,Yes,No,2189924
3/29/2016,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,"XXXX 2015 I began a process to get a home equity line of credit from XXXX XXXX Bank in XXXX New York. They found out that Bank of America, who had taken over my loan from now defunct XXXX XXXX XXXX. While BOA did pay the loan off, they never got a lien release, therefore the new bank would not grant a home equity loan. I have worked with numerous people in Bank Of America and after 9 months, they produce an ASSIGNMENT OF MORTGAGE from a representative of the defunct mortgage company. HOWEVER ... THEY DID NOT USE THE APPROPRIATE LANGUAGE and has been rejected by The XXXX XXXX XXXX and XXXX XXXX Bank as it still shows that I have a lien that does not exist! 
It is now almost 14 months to resolve this!! I have tried to contact Bank of America but have not received a return call. 
The missing paragraph in the assignment of mortgage is : "" THIS ASSIGNMENT IS NOT SUBJECT TO THE REQUIREMENTS OF SECTION XXXX OF THE REAL PROPERTY LAW BECAUSE IT IS AN ASSIGNMENT WITHING THE SECONDARY MORTGAGE MARKET '' I am at my wits end to get Bank of America to fulfill their responsibility so I can move forward with my loan application. If this had happened during the sale of my home, it would have caused me to lose the sale for sure! 
It took them 9 months just to get the rep from XXXX XXXX XXXX to sign the incorrectly worded assignment as it is.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,148XX,,Consent provided,Web,3/29/2016,Closed with monetary relief,Yes,No,1851903
8/3/2015,Debt collection,Medical,Improper contact or sharing of info,Contacted me after I asked not to,,,"Delta Outsource Group, Inc.",FL,34957,Servicemember,Consent not provided,Web,8/3/2015,Closed with explanation,Yes,No,1498863
5/3/2016,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,Company believes it acted appropriately as authorized by contract or law,LOANDEPOT.COM,AZ,85374,Servicemember,N/A,Postal mail,6/15/2016,Closed with explanation,Yes,No,1908953
3/28/2015,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,JPMORGAN CHASE & CO.,CA,92780,,Consent not provided,Web,3/28/2015,Closed with explanation,Yes,Yes,1306083
6/16/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,,,EXPERIAN DELAWARE GP,TX,77083,,N/A,Web,6/16/2013,Closed with non-monetary relief,Yes,No,433806
4/4/2016,Credit card,,Other,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",AK,99516,,N/A,Referral,4/5/2016,Closed with explanation,Yes,No,1862829
7/17/2014,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,,,PNC Bank N.A.,NC,27527,,N/A,Web,7/17/2014,Closed with explanation,Yes,No,941867
2/13/2014,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,,,PORTFOLIO RECOVERY ASSOCIATES INC,IN,46112,,N/A,Web,2/13/2014,Closed with explanation,Yes,No,713501
11/16/2015,Bank account or service,Checking account,"Account opening, closing, or management",,,,JPMORGAN CHASE & CO.,TX,76624,,N/A,Referral,11/16/2015,Closed with explanation,Yes,No,1656624
